date,open,high,low,close,adj_close,volume,year,weekday,change,nChange
2017-02-08,257.350006,263.359985,256.200012,262.079987,262.079987,3933000,2017,2,0.017865371304493328,0.47388844147317105
2017-02-09,266.25,271.179993,266.149994,269.200012,269.200012,7820200,2017,3,0.027167373905585542,0.49553466914875405
2017-02-10,269.790009,270.950012,266.109985,269.230011,269.230011,3619700,2017,4,0.00011143758790016414,0.4325741452030903
2017-02-13,270.73999,280.790009,270.51001,280.600006,280.600006,7029600,2017,0,0.0422315289360517,0.5305897151978125
2017-02-14,279.02999900000003,287.390015,278.609985,280.980011,280.980011,7345200,2017,1,0.0013542587023322545,0.43546625241448367
2017-02-15,280.0,282.23999,276.440002,279.76001,279.76001,4947900,2017,2,-0.004341949434972326,0.42221088972375237
2017-02-16,277.600006,280.0,268.5,268.950012,268.950012,7077300,2017,3,-0.038640254552464476,0.34239700949836144
2017-02-17,265.799988,272.890015,264.149994,272.230011,272.230011,6257100,2017,4,0.012195571123454626,0.46069453142423006
2017-02-21,275.450012,281.399994,274.01001,277.390015,277.390015,5676700,2017,1,0.018954574409505553,0.47642307185408256
2017-02-22,280.309998,283.450012,272.600006,273.51001,273.51001,8755000,2017,2,-0.0139875438558954,0.39976510661064957
2017-02-23,264.0,264.660004,255.559998,255.990005,255.990005,14915200,2017,3,-0.0640561747630371,0.28325288547952826
2017-02-24,252.660004,258.25,250.199997,257.0,257.0,8171600,2017,4,0.003945447010714358,0.44149607787023687
2017-02-27,248.169998,248.360001,242.00999500000003,246.229996,246.229996,11460800,2017,0,-0.041906630350194554,0.3347959888124097
2017-02-28,244.190002,251.0,243.899994,249.990005,249.990005,6078100,2017,1,0.015270312557695028,0.4678496093126518
2017-03-01,254.179993,254.850006,249.110001,250.020004,250.020004,4809500,2017,2,0.00012000079763190397,0.4325940722226189
2017-03-02,249.710007,253.27999900000003,248.270004,250.479996,250.479996,3351800,2017,3,0.0018398207849000744,0.436596179790408
2017-03-03,250.740005,251.899994,249.0,251.570007,251.570007,2919400,2017,4,0.004351688827079046,0.4424414229991814
2017-03-06,247.910004,251.699997,247.50999500000003,251.210007,251.210007,3355500,2017,0,-0.0014310131970541847,0.42898478468564827
2017-03-07,251.919998,253.889999,248.320007,248.589996,248.589996,3459500,2017,1,-0.010429564615234364,0.4080447031675569
2017-03-08,247.0,250.070007,245.320007,246.869995,246.869995,3725200,2017,2,-0.006919027425383702,0.41621389968725975
2017-03-09,247.630005,248.660004,243.0,244.899994,244.899994,3879300,2017,3,-0.007979912666178798,0.41374516639995446
2017-03-10,246.210007,246.5,243.0,243.690002,243.690002,3066300,2017,4,-0.004940759614718487,0.4208174283325762
2017-03-13,244.820007,246.850006,242.77999900000003,246.169998,246.169998,3022600,2017,0,0.010176847550766567,0.45599686018692664
2017-03-14,246.110001,258.119995,246.020004,258.0,258.0,7598400,2017,1,0.04805622982537461,0.5441440869819755
2017-03-15,257.0,261.0,254.270004,255.729996,255.729996,5330800,2017,2,-0.00879846511627907,0.4118403536989565
2017-03-16,262.399994,265.75,259.059998,262.049988,262.049988,7132200,2017,3,0.024713534191741767,0.48982446077717035
2017-03-17,264.0,265.329987,261.200012,261.5,261.5,6497500,2017,4,-0.002098790403302689,0.42743083355674594
2017-03-20,260.600006,264.549988,258.820007,261.920013,261.920013,3614300,2017,0,0.0016061682600381764,0.43605245861906133
