district,state,cases,deaths,current_avg_growth_rate,day0,day1,day2,day3,day4,population,state_code,cases_per_million
Hazaribagh,Jharkhand,10.0,0.0,,,,,,,1734005.0,JH,5.7669960582581945
Hingoli,Maharashtra,61.0,0.0,3.21,9.17,6.67,1.67,3.21,3.21,1178973.0,MH,51.739946546697844
Hisar,Haryana,4.0,0.0,,,,,,,1742815.0,HR,2.295137464389508
Hnahthial,Mizoram,0.0,0.0,,,,,,,,MZ,
Hojai,Assam,0.0,0.0,,,,,,,931218.0,AS,0.0
Hooghly,West Bengal,134.0,4.0,30.57,18.15,34.98,31.34,30.47,30.57,5520389.0,WB,24.273651729977725
Hoshangabad,Madhya Pradesh,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1240975.0,MP,29.815266222123732
Hoshiarpur,Punjab,92.0,4.0,4.2,1.82,2.48,3.09,3.66,4.2,1582793.0,PB,58.125099112770904
Howrah,West Bengal,484.0,25.0,7.42,12.18,12.49,11.32,10.1,7.42,4841638.0,WB,99.96616847438824
Hyderabad,Telangana,827.0,23.0,16.62,9.79,10.3,15.2,16.03,16.62,3441992.0,TG,240.2678448991165
Idukki,Kerala,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107453.0,KL,20.76837572339413
Imphal East,Manipur,1.0,0.0,,,,,,,452661.0,MN,2.2091587302639284
Imphal West,Manipur,1.0,0.0,,,,,,,514683.0,MN,1.9429435205748
Indore,Madhya Pradesh,2107.0,95.0,8.05,4.5,5.07,5.98,7.11,8.05,3272335.0,MP,643.882732055245
Jabalpur,Madhya Pradesh,147.0,8.0,6.39,5.59,4.14,5.5,4.76,6.39,2460714.0,MP,59.73875875050901
Jagatsinghapur,Odisha,5.0,0.0,,,,,,,1136604.0,OR,4.399069508817495
Jagitial,Telangana,6.0,0.0,,,,,,,983414.0,TG,6.101194410492427
Jaipur,Rajasthan,1342.0,62.0,8.04,9.7,8.99,7.45,7.6,8.04,6663971.0,RJ,201.38142858064654
Jaisalmer,Rajasthan,41.0,0.0,,,,,,,672008.0,RJ,61.011178438351926
Jajapur,Odisha,71.0,0.0,6.15,1.96,1.29,0.61,2.37,6.15,1826275.0,OR,38.876948980848994
Jalandhar,Punjab,198.0,5.0,6.37,9.8,9.25,9.92,8.46,6.37,2181753.0,PB,90.7527112372482
Jalaun,Uttar Pradesh,37.0,0.0,106.25,116.67,117.5,118.3,112.92,106.25,1670718.0,UP,22.14616709702056
Jalgaon,Maharashtra,206.0,24.0,23.27,31.16,39.1,34.54,28.9,23.27,4224442.0,MH,48.763836738674605
Jalna,Maharashtra,16.0,0.0,40.0,0.0,0.0,0.0,40.0,40.0,1958483.0,MH,8.16958840081839
Jalor,Rajasthan,42.0,1.0,48.84,,,,,48.84,1830151.0,RJ,22.948926072220267
Jalpaiguri,West Bengal,4.0,0.0,,,,,,,3869675.0,WB,1.0336785388953853
Jammu,Jammu and Kashmir,38.0,0.0,18.21,,38.69,25.36,18.69,18.21,1526406.0,JK,24.89508033904479
Jamnagar,Gujarat,33.0,2.0,19.37,,97.1,79.71,40.48,19.37,2159130.0,GJ,15.283933806672133
