date,close,volume,open,high,low,year,weekday,change
2016-02-22,177.74,5055340.0000,170.12,178.91,169.85,2016,0,0.06699483731540398
2016-02-23,177.21,5982993.0000,176.16,181.73,173.68,2016,1,-0.00298188365027569
2016-02-24,179.0,5385369.0000,172.75,179.5,167.84,2016,2,0.010101010101010055
2016-02-25,187.43,5727008.0000,178.65,188.5192,175.2,2016,3,0.047094972067039144
2016-02-26,190.34,6054061.0000,188.7,192.0,185.0,2016,4,0.015525796297284301
2016-02-29,191.93,4495402.0000,192.4,196.35,189.222,2016,0,0.008353472733004116
2016-03-01,186.35,6695704.0000,194.25,195.9484,182.7,2016,1,-0.029073099567550734
2016-03-02,188.34,4858631.0000,183.73,188.52,181.5,2016,2,0.010678830158304316
2016-03-03,195.74,4822993.0000,188.28,197.42,184.22,2016,3,0.03929064457895299
2016-03-04,201.04,6479858.0000,198.0,204.03,197.5001,2016,4,0.02707673444364965
2016-03-07,205.29,5331097.0000,197.68,209.7,197.4,2016,0,0.02114007162753681
2016-03-08,202.6,4175498.0000,203.5,207.5,202.2,2016,1,-0.013103414681669822
2016-03-09,208.72,3207597.0000,204.52,209.3726,202.79,2016,2,0.030207305034550862
2016-03-10,205.18,5191602.0000,210.0,213.29,200.671,2016,3,-0.016960521272518167
2016-03-11,207.5,3339148.0000,207.93,209.42,205.33,2016,4,0.011307144945901126
2016-03-14,215.15,4062304.0000,212.65,216.72,210.64,2016,0,0.0368674698795181
2016-03-15,218.34,3133230.0000,214.27,218.97,211.5,2016,1,0.014826864977922368
2016-03-16,221.93,3511873.0000,218.0,222.58,217.02,2016,2,0.01644224603828892
2016-03-17,226.38,3769083.0000,221.47,228.5,220.0,2016,3,0.020051367548325996
2016-03-18,232.74,4704761.0000,229.1,234.48,228.06,2016,4,0.02809435462496693
2016-03-21,238.32,5289014.0000,235.34,239.88,235.0,2016,0,0.02397525135344154
2016-03-22,234.24,4303052.0000,237.21,238.99,232.558,2016,1,-0.017119838872104668
2016-03-23,222.58,4936203.0000,232.37,234.73,222.03,2016,2,-0.04977800546448086
2016-03-24,227.75,4956604.0000,215.78,228.8877,215.0,2016,3,0.023227603558271127
